,masked_other_tab_click,masked_shop_click_from_search,shop_L180D_order,shop_follower_number,masked_item_impression,Score
17171,300.0,4.0,405,3297,4219801600.0,191388484.34252426
15876,1180.0,1.0,8582,10293,4224220036.0,191591640.09144446
8193,817.0,625.0,18111,24765,4260042361.0,193219998.49621695
80372,498.0,1006.105263,68226,4551,4370267664.0,198225032.10509965
7595,806.0,4.0,19385,3702,4415336704.0,200260471.39129737
66193,1048.0,81.0,18514,4542,4456230025.0,202115261.13528648
38584,498.0,181.1052632,24104,7584,4488598009.0,203584481.42847466
59733,971.0,4.0,5176,5148,4500531396.0,204122265.34862947
64283,355.0,4.0,85945,69735,4719964804.0,214097302.01082852
74448,905.0,49.0,25690,2064,4752172096.0,215538452.53012988
103695,509.0,16.0,60569,25716,4821496969.0,218691811.61620295
79349,564.0,511.57894739999995,138231,16080,5201438641.0,235936168.8479131
89724,498.0,1.0,85919,17994,5241904801.0,237762581.17967814
12504,531.0,4.0,61726,11076,5555019024.0,251958650.43555698
102115,982.0,1.0,405,9951,5802021241.0,263150792.4683062
31639,201.0,32.63157895,405,1884,5814825025.0,263730057.95720845
109392,1125.0,28.52631579,40926,6693,5922995521.0,268644162.78116965
78062,707.0,9.0,43448,4521,5957987344.0,270231159.14043164
95063,1059.0,23405.0,47842,5964,5996179225.0,271969607.35609794
106714,3160.0,36481.0,94252,34020,6099922404.0,276690549.064828
16750,201.0,25.0,405,975,6223000996.0,282242627.5952253
99646,2434.0,10609.0,34725,24201,6372349929.0,289028747.8048298
79123,5074.0,1296.0,13613,20277,6409283364.0,290698716.93846935
96062,1400.0,36.0,405,2280,6779710921.0,307492728.3582285
39116,817.0,1.0,29551,3141,6831187801.0,309832352.00233823
93979,311.0,90.89473684,23467,8424,7230781156.0,327955278.2559222
76529,718.0,1.0,61388,32142,7352719504.0,333495767.0774042
42296,1092.0,1.0,70137,48030,7692868681.0,348927013.8132957
17310,410.0,277.2105263,23155,2694,8588284929.0,389523682.8241524
86757,2368.0,4.0,40276,27621,9108984481.0,413147052.0362146
17120,267.0,274.9473684,405,990,9503910144.0,431047356.5304254
81027,993.0,4.0,91028,13503,9659548089.0,438123926.1162395
38136,4953.0,196.0,30942,22542,10188479844.0,462106050.313186
26825,1378.0,16.0,44215,18819,10287436329.0,466594419.6709527
19070,1477.0,25.0,78392,167691,10290682249.0,466768326.4861831
66577,1158.0,25.0,405,2691,11034452025.0,500465179.3082333
85586,2027.0,1.0,49324,7515,11578190404.0,525135760.40661234
38011,938.0,100.0,405,3024,12123551449.0,549860924.957171
33934,1092.0,25.0,405,1161,13890272449.0,629989811.4915608
107914,1345.0,16.0,108162,45042,13951389456.0,632786602.1925663
63051,1059.0,9.0,23545,31080,14023770084.0,636052707.112848
80594,1928.0,100.0,23987,7293,14318036964.0,649396242.5260876
98812,960.0,16.0,37780,15687,15472623321.0,701765285.0531832
97734,355.0,9.0,405,2160,17096608516.0,775412040.411074
101125,2412.0,81.0,12651,8370,17585677321.0,797597474.5824912
103816,1257.0,4.0,179285,80178,20340179161.0,922565381.383199
66009,1708.0,16.0,110723,14070,20901352329.0,947996351.954681
83336,1774.0,1.0,77976,33477,21553176100.0,977556688.3550427
16951,1532.0,16.0,173877,29124,24228479025.0,1098910120.2051392
77105,245.0,16.0,405,1989,25299765481.0,1147463679.3046525
76114,2005.0,727.9473684,71554,32469,26624122561.0,1207546941.1855857
103670,1301.0,9.0,161072,78147,29577120400.0,1341500650.507861
86228,1587.0,25.0,66822,31857,33842753296.0,1534944524.107181
96224,2434.0,9.0,45268,101169,38527016089.0,1747404130.767539
80727,1906.0,36.0,182951,113772,38738506041.0,1757021536.588608
75593,2016.0,25.0,81993,282003,42689758225.0,1936235408.5797553
