shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs,shopindex,GBDT_label,GBDT_probs
3836970,0.0,0.0,0.0,0.0,8.0,0.0,1.0,390.0,2208.0,509.0,3.0,0,0.84,3836970,0,0.7910867573249691
3863610,0.0,0.0,0.0,0.0,5.0,0.0,1.0,258.0,4257.0,444.0,3.0,0,0.88,3863610,0,0.7910867573249691
3910320,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1020.0,405.0,3.951127819548872,0,0.93,3910320,0,0.7910867573249691
3959910,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,2220.0,405.0,0.0,0,0.82,3959910,0,0.9101013615354286
4006755,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1138.0,3303.0,36181.0,4.0,1,0.85,4006755,0,0.8013022647801775
4039335,0.0,0.0,0.0,0.0,14.0,0.0,1.0,2337.0,2112.0,678.0,3.0,2,0.51,4039335,0,0.7910867573249691
4040595,0.0,0.0,0.0,0.0,1.0,0.0,2.0,786.0,14550.0,1978.0,4.0,0,0.81,4040595,0,0.80791934985067
4043025,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2040.0,1335.0,2992.0,5.0,1,0.52,4043025,0,0.7910867573249691
4047840,0.0,0.0,0.0,0.0,5.0,0.0,1.0,577.0,1818.0,951.0,4.0,0,0.87,4047840,0,0.7910867573249691
4058685,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1179.0,405.0,0.0,0,0.92,4058685,0,0.9101013615354286
4178970,0.0,0.0,0.0,0.0,1.0,0.0,1.0,291.0,1017.0,405.0,4.447368421052632,0,0.83,4178970,0,0.80791934985067
4200795,0.0,0.0,0.0,0.0,8.0,0.0,1.0,676.0,1086.0,405.0,5.0,0,0.94,4200795,0,0.7910867573249691
4207095,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,987.0,405.0,4.116541353383458,0,0.92,4207095,0,0.7910867573249691
4269150,0.0,0.0,0.0,0.0,20.0,0.0,1.0,269.0,1089.0,548.0,5.0,0,0.93,4269150,0,0.7910867573249691
4299750,0.0,0.0,0.0,0.0,8.0,0.0,7.0,1083.0,2406.0,470.0,4.0,0,0.59,4299750,0,0.7910867573249691
4323420,0.0,0.0,0.0,0.0,1.0,0.0,1.0,258.0,999.0,405.0,5.0,0,0.88,4323420,0,0.80791934985067
4332600,0.0,0.0,0.0,0.0,6.0,0.0,3.0,291.0,1443.0,405.0,1.0,0,0.88,4332600,0,0.7910867573249691
4338765,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1831.0,3006.0,756.0,1.0,0,0.64,4338765,0,0.7910867573249691
4563135,0.0,0.0,0.0,0.0,20.0,0.0,5.0,390.0,12072.0,509.0,4.0,0,0.86,4563135,0,0.7910867573249691
4589775,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,987.0,405.0,4.25563909774436,0,0.92,4589775,0,0.7910867573249691
4653855,0.0,0.0,0.0,0.0,3.0,0.0,6.0,918.0,2172.0,405.0,5.0,0,0.76,4653855,0,0.7910867573249691
4678290,0.0,0.0,0.0,0.0,20.0,0.0,3.0,269.0,1590.0,509.0,3.0,0,0.91,4678290,0,0.7910867573249691
4678515,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1413.0,3756.0,574.0,4.0,0,0.75,4678515,0,0.7910867573249691
4690350,0.0,0.0,0.0,0.0,14.0,0.0,30.0,698.0,5541.0,2199.0,4.0,0,0.62,4690350,0,0.7910867573249691
4788945,0.0,0.0,0.0,0.0,0.0,0.0,1.0,368.0,1041.0,405.0,4.755639097744362,0,0.87,4788945,0,0.8013022647801775
4791195,0.0,0.0,0.0,0.0,6.0,0.0,2.0,324.0,2766.0,613.0,5.0,0,0.8,4791195,0,0.7910867573249691
4799160,0.0,0.0,0.0,0.0,0.0,0.0,8.0,247.0,1029.0,1198.0,5.0,0,0.79,4799160,0,0.8013022647801775
4799925,0.0,0.0,0.0,0.0,6.0,0.0,5.0,500.0,1287.0,444.0,5.0,0,0.92,4799925,0,0.7910867573249691
4811625,0.0,0.0,0.0,0.0,5.0,0.0,4.0,291.0,4152.0,1419.0,1.0,0,0.89,4811625,0,0.7910867573249691
4867830,1.0,0.0,0.0,0.0,9.0,0.0,30.0,2623.0,115413.0,183224.0,4.0,1,0.9,4867830,0,0.8119116327923376
4910985,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2953.0,16836.0,4422.0,4.0,0,0.7,4910985,0,0.80791934985067
