shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs,shopindex
311691375,0.0,0.0,0.0,0.0,8.0,0.0,2.0,313.0,2013.0,925.0,5.0,0,0.81,311691375
311710635,0.0,0.0,0.0,0.0,6.0,1.0,1.0,269.0,996.0,405.0,4.924812030075188,0,0.98,311710635
311711760,0.0,0.0,0.0,0.0,1.0,0.0,1.0,346.0,1014.0,405.0,5.0,0,0.89,311711760
311754150,0.0,0.0,0.0,0.0,17.0,0.0,1.0,258.0,1020.0,405.0,4.601503759398496,0,0.95,311754150
311799375,0.0,0.0,0.0,0.0,1.0,0.0,4.0,258.0,975.0,405.0,4.913533834586466,0,0.89,311799375
311816115,0.0,0.0,0.0,0.0,6.0,1.0,1.0,258.0,978.0,405.0,5.0,0,0.96,311816115
311853105,0.0,0.0,0.0,0.0,4.0,0.0,7.0,1325.0,1065.0,405.0,4.0,2,0.59,311853105
311908770,0.0,0.0,0.0,0.0,8.0,0.0,1.0,269.0,1017.0,405.0,4.8045112781954895,0,0.95,311908770
311996610,0.0,0.0,0.0,0.0,1.0,1.0,6.0,247.0,1020.0,405.0,5.0,0,0.97,311996610
312042330,0.0,0.0,0.0,0.0,8.0,0.0,11.0,401.0,1002.0,405.0,4.0,0,0.96,312042330
312205140,0.0,0.0,0.0,0.0,5.0,0.0,9.0,291.0,999.0,1601.0,5.0,0,0.59,312205140
312402870,0.0,0.0,0.0,0.0,11.0,0.0,1.0,1149.0,1089.0,405.0,4.0,2,0.49,312402870
312403950,0.0,0.0,0.0,0.0,0.0,1.0,9.0,269.0,975.0,405.0,5.0,0,0.95,312403950
312416955,0.0,0.0,0.0,0.0,3.0,0.0,9.0,291.0,1041.0,405.0,5.0,0,0.96,312416955
312509970,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,975.0,405.0,4.691729323308271,0,0.92,312509970
312579180,0.0,0.0,0.0,0.0,20.0,0.0,3.0,313.0,984.0,405.0,4.0,0,0.92,312579180
312659370,0.0,0.0,0.0,0.0,0.0,0.0,24.0,445.0,1008.0,405.0,4.642857142857143,0,0.87,312659370
312786630,0.0,0.0,0.0,0.0,1.0,0.0,17.0,775.0,1488.0,3434.0,4.0,1,0.8,312786630
312813360,0.0,0.0,0.0,0.0,6.0,0.0,1.0,962.0,1179.0,431.0,5.0,0,0.71,312813360
312813990,0.0,0.0,0.0,0.0,4.0,0.0,9.0,698.0,1044.0,405.0,4.0,0,0.95,312813990
313006635,0.0,0.0,0.0,0.0,5.0,0.0,2.0,456.0,993.0,405.0,4.650375939849624,0,0.97,313006635
313027065,0.0,0.0,0.0,0.0,20.0,0.0,1.0,247.0,1026.0,405.0,3.6691729323308273,0,0.93,313027065
313036065,0.0,0.0,0.0,0.0,8.0,0.0,2.0,379.0,1038.0,496.0,5.0,0,0.93,313036065
313069905,0.0,0.0,0.0,0.0,3.0,0.0,2.0,258.0,978.0,405.0,5.0,0,0.94,313069905
313142220,0.0,0.0,0.0,0.0,9.0,0.0,5.0,258.0,981.0,405.0,5.0,0,0.95,313142220
313196220,0.0,0.0,0.0,0.0,3.0,0.0,2.0,412.0,1089.0,405.0,4.0,0,0.97,313196220
313208055,0.0,0.0,0.0,0.0,8.0,0.0,1.0,269.0,1068.0,405.0,5.0,0,0.94,313208055
313356375,0.0,0.0,0.0,0.0,0.0,0.0,3.0,269.0,1035.0,405.0,5.0,0,0.87,313356375
313361280,0.0,0.0,0.0,0.0,16.0,0.0,27.0,423.0,1278.0,405.0,4.0,0,0.85,313361280
313460235,0.0,0.0,0.0,0.0,8.0,0.0,27.0,368.0,8160.0,16967.0,5.0,1,0.74,313460235
313484400,0.0,0.0,0.0,0.0,8.0,0.0,2.0,258.0,1215.0,405.0,5.0,0,0.94,313484400
313540515,0.0,0.0,1.0,0.0,1.0,0.0,15.0,357.0,3636.0,5137.0,5.0,1,0.81,313540515
313602390,0.0,0.0,0.0,0.0,11.0,0.0,5.0,269.0,1008.0,405.0,5.0,0,0.99,313602390
313751880,0.0,0.0,0.0,0.0,11.0,0.0,17.0,599.0,1107.0,405.0,5.0,0,0.93,313751880
313814475,0.0,0.0,0.0,0.0,8.0,1.0,2.0,291.0,984.0,405.0,5.0,0,0.97,313814475
313821270,0.0,0.0,0.0,0.0,1.0,0.0,4.0,412.0,1491.0,1913.0,5.0,1,0.55,313821270
314007300,0.0,0.0,0.0,0.0,20.0,0.0,1.0,258.0,1116.0,405.0,4.2631578947368425,0,0.93,314007300
