manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,performance_date,masked_item_impression,masked_order,masked_shop_page_view,masked_shop_click_from_search,masked_campaign_tab_click,masked_other_tab_click,kmeans.labels,agglomerative.average.labels,agglomerative.complete.labels,meanshift.labels
0.0,0.0,0.0,1.0,0.0,0.0,18.0,25701.0,11985.0,6645.0,4.0,7.5,65231096.14285714,78.42857142857143,0.0,130.12781954887217,11.0,55.063909774436084,0,3,0,0
1.0,0.0,0.0,0.0,4.0,0.0,28.0,4097.0,93234.0,531455.0,4.0,7.5,336000214285.7143,394308598.0714286,205.21428571428572,21421.69172932331,11.0,2881.8571428571427,4,3,0,2
1.0,0.0,0.0,0.0,15.0,0.0,21.0,6242.0,149010.0,151777.0,4.0,7.5,2268967564.357143,922362.7142857143,77.35714285714286,448.80827067669173,11.0,710.9285714285714,0,3,0,0
0.0,0.0,1.0,1.0,15.0,0.0,29.0,28165.0,44835.0,18566.0,4.0,7.5,2985808089.142857,49999.21428571428,0.0,1377.5714285714287,11.0,127.92857142857143,0,3,0,0
0.0,0.0,0.0,0.0,1.0,0.0,14.0,2040.0,35895.0,10545.0,4.0,7.5,1335959175.357143,134713.14285714287,819.0,11639.357142857143,11.0,2616.285714285714,0,3,0,0
0.0,0.0,0.0,0.0,8.0,0.0,26.0,1413.0,1311.0,405.0,4.0,7.5,13287047.642857144,3.5714285714285716,537.2142857142857,24.981203007518793,11.0,37.28195488721805,0,3,0,0
1.0,1.0,0.0,0.0,5.0,0.0,30.0,1270.0,1652265.0,1757030.0,5.0,7.5,2130153642857.1428,41357476777.92857,13.714285714285714,4016510.714285714,15981.0,83351.57142857143,1,1,4,10
1.0,1.0,0.0,0.0,10.0,0.0,30.0,1160.0,12306.0,107538.0,4.0,7.5,6891320411.142858,2949862.0,0.0,277.63157894736844,11.0,1011.0714285714286,0,3,0,0
0.0,0.0,0.0,0.0,5.0,0.0,19.0,918.0,2133.0,405.0,5.0,7.5,4845811.285714285,8.785714285714286,555.4285714285714,19.32706766917293,11.0,147.57142857142858,0,3,0,0
1.0,0.0,0.0,0.0,6.0,0.0,16.0,1655.0,2526.0,5787.0,4.0,7.5,9072049.714285715,6.714285714285714,0.6428571428571429,28.02631578947368,11.0,45.18045112781955,0,3,0,0
1.0,0.0,0.0,0.0,8.0,0.0,1.0,3822.0,34908.0,11065.0,4.0,7.5,35780664.571428575,2330.785714285714,0.14285714285714285,98.01503759398497,11.0,149.92857142857142,0,3,0,0
0.0,0.0,0.0,0.0,15.0,0.0,29.0,1017.0,3585.0,12586.0,4.0,7.5,2043413767.7857144,5422369.5,59.5,1286.6015037593984,11.0,921.5,0,3,0,0
1.0,1.0,0.0,0.0,6.0,0.0,30.0,3965.0,11655.0,37975.0,4.0,7.5,633780749.5,180059.35714285713,5.142857142857143,82.0,11.0,785.5714285714286,0,3,0,0
0.0,0.0,0.0,0.0,6.0,0.0,4.0,511.0,1473.0,483.0,5.0,7.5,19678.714285714286,0.14285714285714285,38.285714285714285,4.43609022556391,11.0,29.71428571428572,0,3,0,0
1.0,1.0,0.0,0.0,15.0,0.0,27.0,1809.0,42486.0,91587.0,4.0,7.5,4021995714.285714,566441.6428571428,54.785714285714285,209.69172932330827,11.0,1211.4285714285713,0,3,0,0
0.0,0.0,0.0,0.0,8.0,0.0,28.0,1325.0,2418.0,11689.0,4.0,7.5,34862132.0,98.0,101.5,84.04135338345864,11.0,52.5,0,3,0,0
