manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,performance_date,masked_item_impression,masked_order,masked_shop_page_view,masked_shop_click_from_search,masked_campaign_tab_click,masked_other_tab_click,shop_index,rf_label,predicted_orders
0,0,0,1,7,0,19,11181,975,405,3.0,5,1510441.0,1.0,0,11.63157895,11,18.63157895,1369028610,4,28.701524810213286
0,0,0,1,7,0,19,11181,975,405,3.0,8,3617604.0,1.0,0,68.10526316,11,37.15789474,1369028610,4,28.995913845830295
0,0,0,1,7,0,19,11181,975,405,3.0,2,1069156.0,8.0,0,22.21052632,11,25.0,1369028610,4,28.995913845830295
0,0,0,1,7,0,19,11181,975,405,3.0,1,649636.0,27.0,0,22.57894737,11,19.78947368,1369028610,4,28.995913845830295
0,0,0,1,7,0,19,11181,975,405,3.0,4,1203409.0,1.0,0,62.52631579,11,19.21052632,1369028610,4,28.995913845830295
0,0,0,1,7,0,19,11181,975,405,3.0,12,1256641.0,8.0,0,4.0,11,25.57894737,1369028610,4,28.63439907128345
0,0,0,1,7,0,19,11181,975,405,3.0,13,1505529.0,0.0,0,16.26315789,11,36.0,1369028610,4,28.995913845830295
0,0,0,1,7,0,19,11181,975,405,3.0,14,1488400.0,8.0,0,14.57894737,11,27.31578947,1369028610,4,28.995913845830295
0,0,0,1,7,0,19,11181,975,405,3.0,11,1098304.0,0.0,0,3.052631579,11,25.57894737,1369028610,4,28.63439907128345
0,0,0,1,7,0,19,11181,975,405,3.0,9,1838736.0,0.0,0,170.9473684,11,23.84210526,1369028610,4,28.995913845830295
0,0,0,1,7,0,19,11181,975,405,3.0,3,725904.0,8.0,0,6.578947368,11,22.10526316,1369028610,4,28.76800303650689
0,0,0,1,0,0,15,10752,1155,405,4.0,9,2196324.0,216.0,0,4.736842105,11,14.0,1385964495,4,28.63439907128345
0,0,0,1,0,0,15,10752,1155,405,4.0,4,1896129.0,8.0,0,5.210526316,11,14.0,1385964495,4,28.63439907128345
0,0,0,1,0,0,15,10752,1155,405,4.0,8,6775609.0,64.0,0,81.84210526,11,64.94736842,1385964495,4,28.995913845830295
0,0,0,1,0,0,15,10752,1155,405,4.0,7,3504384.0,8.0,0,9.473684211,11,14.0,1385964495,4,28.732800446762102
0,0,0,1,0,0,15,10752,1155,405,4.0,5,2002225.0,64.0,0,9.368421053,11,14.0,1385964495,4,28.732800446762102
