manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,kmeans.labels,agglomerative.average.labels,agglomerative.complete.labels,agglomerative.single.labels,agglomerative.ward.labels,meanshift.labels
0.0,0.0,0.0,1.0,11.0,0.0,25.0,2084.0,29241.0,56682.0,4.0,0,1,2,1,1,0
1.0,0.0,1.0,0.0,9.0,0.0,30.0,1809.0,8202.0,16226.0,4.0,0,1,2,1,1,0
1.0,0.0,0.0,0.0,17.0,0.0,26.0,1644.0,10302.0,5267.0,4.0,0,0,0,1,1,0
1.0,0.0,0.0,0.0,5.0,0.0,30.0,4163.0,23967.0,30071.0,4.0,0,1,0,1,1,0
0.0,0.0,0.0,0.0,6.0,0.0,19.0,676.0,2889.0,10116.0,5.0,0,1,2,1,1,0
0.0,0.0,0.0,1.0,15.0,0.0,30.0,3734.0,6093.0,25820.0,4.0,0,1,2,1,1,0
0.0,0.0,1.0,1.0,13.0,0.0,23.0,4845.0,14541.0,27627.0,4.0,0,1,2,1,1,0
0.0,0.0,1.0,1.0,0.0,0.0,26.0,36547.0,8067.0,10259.0,4.0,0,4,4,1,1,0
1.0,0.0,1.0,0.0,6.0,0.0,30.0,1479.0,34803.0,135033.0,4.0,0,1,2,1,1,0
1.0,0.0,1.0,0.0,0.0,0.0,27.0,12600.0,18525.0,63754.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,1.0,13.0,0.0,30.0,16538.0,69948.0,48752.0,4.0,0,0,0,1,1,0
1.0,0.0,0.0,0.0,6.0,0.0,7.0,357.0,1152.0,418.0,4.0,0,0,0,1,1,0
0.0,0.0,1.0,0.0,9.0,0.0,26.0,2040.0,15621.0,53367.0,4.0,0,1,2,1,1,0
1.0,1.0,0.0,0.0,0.0,0.0,29.0,951.0,272397.0,1142390.0,4.0,2,1,2,0,0,3
0.0,0.0,0.0,1.0,0.0,0.0,10.0,18243.0,23025.0,66497.0,4.0,0,1,2,1,1,0
1.0,0.0,1.0,0.0,0.0,0.0,29.0,1094.0,26103.0,81512.0,4.0,0,1,2,1,1,0
0.0,0.0,1.0,1.0,0.0,0.0,30.0,30057.0,152460.0,388273.0,4.0,4,1,2,3,3,4
0.0,0.0,0.0,0.0,0.0,0.0,25.0,753.0,1125.0,405.0,5.0,0,0,1,1,1,0
0.0,0.0,0.0,1.0,4.0,0.0,28.0,44665.0,11385.0,47296.0,4.0,0,3,3,1,1,0
0.0,0.0,0.0,0.0,6.0,0.0,20.0,698.0,1623.0,1705.0,5.0,0,1,0,1,1,0
0.0,0.0,0.0,0.0,16.0,0.0,28.0,962.0,258174.0,415300.0,4.0,4,1,2,3,3,7
0.0,0.0,0.0,0.0,0.0,0.0,3.0,610.0,3120.0,8751.0,5.0,0,1,2,1,1,0
0.0,0.0,1.0,1.0,15.0,0.0,22.0,22863.0,6096.0,26145.0,4.0,0,3,3,1,1,0
1.0,1.0,0.0,0.0,7.0,0.0,30.0,24084.0,2349123.0,1216308.0,4.0,3,0,0,2,2,12
1.0,1.0,0.0,0.0,9.0,0.0,25.0,775.0,11727.0,9310.0,4.0,0,0,0,1,1,0
0.0,0.0,1.0,0.0,20.0,0.0,29.0,1116.0,24663.0,20659.0,5.0,0,0,0,1,1,0
0.0,0.0,1.0,1.0,8.0,0.0,28.0,16076.0,152298.0,247041.0,4.0,4,1,2,3,3,1
1.0,1.0,0.0,0.0,6.0,0.0,30.0,1545.0,886977.0,708892.0,4.0,1,0,0,4,4,13
1.0,0.0,0.0,0.0,15.0,0.0,30.0,5813.0,40821.0,171914.0,4.0,0,1,2,1,1,1
0.0,0.0,0.0,1.0,13.0,0.0,30.0,5362.0,558966.0,1882545.0,4.0,2,1,2,0,0,23
1.0,1.0,0.0,0.0,5.0,0.0,30.0,2678.0,627807.0,456809.0,4.0,4,0,0,3,3,15
1.0,1.0,0.0,0.0,9.0,0.0,30.0,1237.0,236283.0,438583.0,4.0,4,1,2,3,3,7
1.0,1.0,0.0,0.0,6.0,0.0,30.0,1930.0,34437.0,51898.0,4.0,0,1,2,1,1,0
1.0,0.0,1.0,0.0,6.0,0.0,30.0,4900.0,5658.0,27913.0,4.0,0,1,2,1,1,0
0.0,0.0,0.0,0.0,9.0,0.0,30.0,1171.0,8952.0,12339.0,4.0,0,1,0,1,1,0
