,shop_index,rf_label
243,13507965,0
244,13627215,0
245,13629780,0
246,13688550,0
247,13754610,0
248,13798125,0
249,13926330,0
250,13972950,0
251,14120685,0
252,14144355,0
253,14222790,0
254,14253210,0
255,14253885,1
256,14279220,0
257,14372145,0
258,14446845,0
259,14448150,0
260,14836410,0
261,14836590,0
262,14919075,0
263,14936805,0
264,14992380,0
265,15004665,0
266,15053625,0
267,15057225,0
268,15184035,0
269,15194430,0
270,15208380,0
271,15262830,0
272,15304725,0
273,15369795,0
274,15435135,0
275,15438960,0
276,15483915,0
277,15528555,0
278,15531840,0
279,15547320,0
280,15548805,0
281,15549300,0
282,15742485,0
283,15925455,0
284,15953445,0
285,15957270,0
286,16098480,0
287,16146315,0
288,16164225,0
289,16325415,0
290,16423290,0
291,16446735,0
292,16470765,1
293,16497945,0
294,16535205,0
295,16760070,0
296,16814295,0
297,16845885,0
298,16967745,0
299,17007120,0
300,17025750,0
301,17101125,0
302,17111925,0
303,17233335,0
304,17445645,0
305,17511615,0
306,17786880,0
307,17860995,0
308,17874180,0
309,17917020,0
310,18006705,0
311,18117900,0
312,18117990,0
313,18144045,0
314,18202050,0
315,18229545,0
316,18286155,0
317,18317070,0
318,18416160,0
319,18479565,0
320,18501750,0
321,18558495,0
322,18636165,0
323,18700335,0
324,18780660,0
325,18973800,0
326,19008405,0
327,19085085,0
328,19105875,1
329,19160910,0
330,19199790,1
331,19252080,0
332,19273950,0
333,19336770,0
334,19456965,0
335,19554660,0
336,19658475,0
337,19670400,0
338,19920780,0
339,20026800,0
340,20076840,0
341,20114055,1
342,20123370,0
343,20168910,0
344,20235150,0
345,20307060,0
346,20443095,0
347,20516130,1
348,20747115,0
349,20775105,0
350,20776050,1
351,20850075,0
352,20876400,0
353,20879370,0
354,20926935,0
355,20948400,0
356,21022740,0
357,21036330,0
358,21171420,0
359,21207240,0
360,21309660,0
361,21434310,0
362,21514680,1
363,21758355,0
364,21815640,0
365,21882375,0
366,21957120,0
367,22012245,0
368,22034790,0
369,22098510,0
370,22216770,0
371,22274415,0
372,22340655,1
373,22491135,0
374,22631625,0
375,22673115,1
376,22695840,0
377,22719870,0
378,22743045,0
379,22823055,0
380,22838400,0
381,22878585,0
382,22926465,0
383,22986360,0
384,23007915,0
385,23031810,0
386,23071950,0
387,23103000,0
388,23136030,0
389,23188500,0
390,23463945,0
391,23479020,0
392,23569425,0
393,23576085,0
394,23705325,0
395,23775345,0
396,23825250,0
397,23873535,0
398,23933970,0
399,24015375,0
400,24128100,0
401,24144120,0
402,24151635,0
403,24245955,0
404,24258510,0
405,24274755,0
406,24319665,0
407,24333345,0
408,24370290,0
409,24391485,0
410,24518610,0
411,24563475,0
412,24632055,1
413,24720300,0
414,24853320,0
415,24892335,0
416,24955020,0
417,25113735,0
418,25205580,0
419,25214670,0
420,25284645,0
421,25359660,0
422,25366365,0
423,25606035,0
424,25652430,0
425,25751430,0
426,25778520,1
427,25815825,0
428,25920000,0
429,25945200,0
430,26128755,0
431,26135100,0
432,26136315,0
433,26147295,0
434,26151660,0
435,26203680,0
436,26218845,0
437,26257815,0
438,26272980,0
439,26287020,1
440,26314830,0
441,26350830,0
442,26389935,0
443,26399790,0
444,26559810,0
445,26599680,0
446,26646300,0
447,26721225,0
448,26724870,0
449,26833995,0
450,26844345,0
451,26873145,0
452,26923365,0
453,26946855,0
454,27002205,0
455,27005535,0
456,27043200,0
457,27277695,0
458,27288495,0
459,27333495,0
460,27418050,0
461,27516555,0
462,27572715,0
463,27607185,0
464,27796905,0
465,27872640,0
466,27970560,0
467,28005840,0
468,28024425,1
469,28194165,0
470,28274220,0
471,28407825,0
472,28431000,0
473,28459260,0
474,28562670,0
475,28591515,0
476,28645290,0
477,28647090,0
478,28694565,0
479,28739340,0
480,28745235,0
481,28786905,0
482,28860255,0
483,28865160,0
484,28885185,0
485,28912995,0
486,28923525,0
487,28935765,1
488,28940130,0
489,29145960,0
490,29213280,0
491,29358900,0
492,29372130,0
493,29399400,0
494,29513745,0
495,29519325,0
496,29607570,0
497,29634750,0
498,29669085,0
499,29716695,0
500,29761875,0
501,29794005,0
502,29840580,0
503,29902995,0
504,29999475,0
505,30054195,0
506,30231585,0
507,30249225,0
508,30267090,0
509,30384945,0
510,30412800,0
511,30424050,0
512,30446415,0
513,30467250,1
514,30488625,0
515,30496410,0
516,30548655,0
517,30654360,0
518,30705255,0
519,30751560,0
520,30863655,0
521,30889845,0
522,30961710,0
523,30997665,0
524,31057065,0
525,31089375,0
526,31121190,0
527,31138740,0
528,31194405,0
529,31227255,0
530,31277025,0
531,31518180,0
532,31610790,0
533,31636890,0
534,31660785,0
535,31813335,0
536,31821930,0
537,31832190,0
