shop_index,manage_shop_indicator,officialstore_indicator,preferred_shop_indicator,crossborder_indicator,shop_category,new_seller_flag,seller_centre_login_L30D,shop_sku_number,shop_follower_number,shop_L180D_order,weighted_shop_rating,rf_label,rf_probs
8105355,0,0,0,0,6,0,1,247,993,405,5,0,0.95
8137890,0,0,0,0,9,0,1,280,1068,405,2,0,0.94
8242425,0,0,0,0,6,0,4,621,1083,405,5,0,0.99
8258130,0,0,0,0,20,0,1,247,1242,405,3.612781955,0,0.92
8355060,0,0,0,0,20,0,1,247,1017,405,4.293233083,0,0.93
8458110,0,0,0,0,20,0,1,808,1545,405,5,0,0.84
8554095,0,0,0,0,20,0,1,247,1014,405,4.003759398,0,0.93
8679735,0,0,0,0,18,0,22,522,1245,4071,4,1,0.71
8801640,0,0,0,0,6,0,1,291,1032,405,4.842105263,0,0.93
8842680,0,0,0,0,9,0,1,280,2868,431,4,0,0.78
8895015,0,0,0,0,12,0,1,258,1113,405,4.526315789,0,0.98
8999595,0,0,0,0,5,0,6,258,1014,405,4.785714286,0,0.96
9012195,0,0,0,0,6,0,3,544,3954,548,1,0,0.94
9029655,0,0,0,0,3,0,2,247,1215,1055,4,0,0.88
9054990,0,0,0,0,8,0,1,269,1083,405,4.642857143,0,0.95
9135720,0,0,0,0,9,0,1,291,1854,652,4,0,0.82
9175050,0,0,0,0,16,0,4,357,2847,925,1,0,0.82
9175140,0,0,0,0,20,0,11,269,1095,405,4.112781955,0,0.93
9364905,1,0,0,0,9,0,9,588,6105,2277,4,0,0.83
9380475,0,0,0,0,7,0,1,302,975,405,4.793233083,0,0.94
9514530,0,0,0,0,9,0,1,456,1797,522,4,0,0.84
9539325,0,0,0,0,8,0,2,566,1101,405,3,0,0.96
9663930,0,0,0,0,20,0,6,302,1005,405,4,0,0.92
9883485,0,0,0,0,8,0,1,247,1086,405,4.909774436,0,0.95
9966420,0,0,0,0,14,0,1,335,1020,405,4.808270677,0,1
10038780,0,0,0,0,9,0,5,577,24171,1081,4,0,0.92
10100520,0,0,0,0,5,0,1,544,1281,873,4,0,0.93
10125180,0,0,0,0,8,0,2,291,1215,574,4,0,0.92
10206360,0,0,0,0,8,0,5,423,6375,1094,4,0,0.88
10212165,0,0,0,0,8,0,4,478,5655,1666,3,0,0.82
10323270,0,0,0,0,8,0,1,258,1050,457,5,0,0.93
10575765,0,0,0,0,3,0,2,313,1164,509,1,0,0.95
10584990,0,0,0,0,15,0,12,302,984,535,4,0,0.95
10670580,1,0,0,0,6,0,1,775,9294,405,4,0,0.8
10678815,0,0,0,0,9,0,2,478,1074,483,4,0,0.97
10717830,0,0,0,0,20,0,11,280,1245,405,4.605263158,0,0.93
10862685,0,0,0,0,2,0,28,357,1647,847,4,0,0.9
10918890,0,0,0,0,16,0,6,511,9645,2056,3,0,0.75
10963890,0,0,0,0,9,0,4,2073,34530,2706,4,0,0.85
11072205,0,0,0,0,18,0,1,247,1257,405,5,0,0.88
11156175,0,0,0,0,20,0,1,247,1005,405,4.454887218,0,0.93
11221695,0,0,0,0,8,0,1,269,1038,405,4.729323308,0,0.93
11282625,0,0,0,0,9,0,1,247,22770,431,4,0,0.87
11344500,0,0,0,0,6,0,1,258,987,405,4.819548872,0,0.95
11383740,0,0,0,0,0,0,20,885,1755,6125,4,1,0.82
11472975,0,0,0,0,20,0,3,489,1272,496,4,0,0.91
11502720,0,0,0,0,8,0,1,258,1023,405,4.845864662,0,0.94
11505510,0,0,0,0,8,0,1,423,1548,405,5,0,0.93
11520675,0,0,0,0,9,0,1,258,1251,405,1,0,0.92
11564235,0,0,0,0,8,0,1,489,1614,444,2,0,0.95
11626605,0,0,0,0,20,0,1,247,1044,405,3.011278195,0,0.92
11653020,0,0,0,0,8,0,20,324,1047,405,4,0,0.86
11780730,0,0,0,0,8,0,3,269,1176,405,5,0,0.95
11894355,0,0,0,0,13,0,8,258,2910,405,1,0,0.84
